file_name,cmp_ratio,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201111_004758/DF__UTC_20201111_004758.642.h5,4.24807,449.765,-22065,22799,-0.296272,1645,8473,1139,16340,
DF__UTC_20201111_004258/DF__UTC_20201111_004258.642.h5,4.2475,455.765,-24767,23124,-0.393915,1736,8925,4860,20648,
DF__UTC_20201111_004558/DF__UTC_20201111_004558.642.h5,4.24759,459.042,-24036,22953,-0.322034,1754,8585,1770,17274,
DF__UTC_20201111_004658/DF__UTC_20201111_004658.642.h5,4.24781,442.743,-23660,22294,-0.253971,1766,8506,2044,17402,
DF__UTC_20201111_004858/DF__UTC_20201111_004858.642.h5,4.24794,437.12,-23119,23165,-0.387766,1749,8739,282,15900,
DF__UTC_20201111_004958/DF__UTC_20201111_004958.642.h5,4.2474,463.117,-23991,23932,-0.339188,1694,8474,282,15568,
DF__UTC_20201111_005058/DF__UTC_20201111_005058.642.h5,4.24782,444.007,-22967,24655,-0.402606,1746,8468,2019,17349,
DF__UTC_20201111_005258/DF__UTC_20201111_005258.642.h5,4.2473,439.923,-24860,24405,-1.01889,1689,8688,252,15784,
DF__UTC_20201111_005158/DF__UTC_20201111_005158.642.h5,4.24723,449.258,-25324,24832,-0.70764,1718,8845,2091,17839,
DF__UTC_20201111_005358/DF__UTC_20201111_005358.642.h5,4.24743,439.106,-24634,24423,-0.878932,1759,8653,274,15847,
DF__UTC_20201111_005558/DF__UTC_20201111_005558.642.h5,4.24795,447.285,-23054,23591,-0.450991,1761,8772,295,16043,
DF__UTC_20201111_005758/DF__UTC_20201111_005758.642.h5,4.24784,429.969,-23660,23894,-0.283569,1686,8455,250,15522,
DF__UTC_20201111_005458/DF__UTC_20201111_005458.642.h5,4.24797,432.476,-22835,24132,-0.0201322,1736,8436,1968,17310,
DF__UTC_20201111_005658/DF__UTC_20201111_005658.642.h5,4.24769,451.672,-23854,23802,-0.477816,1748,8423,2250,17530,
DF__UTC_20201111_005858/DF__UTC_20201111_005858.642.h5,4.24767,427.429,-24324,23754,-0.281763,1769,8417,272,15515,
DF__UTC_20201111_005958/DF__UTC_20201111_005958.642.h5,4.24777,438.635,-23414,22882,-0.350471,1759,8345,2545,17803,
DF__UTC_20201111_010058/DF__UTC_20201111_010058.642.h5,4.24795,428.938,-22830,22801,-0.278357,1675,8518,256,15563,
DF__UTC_20201111_010158/DF__UTC_20201111_010158.642.h5,4.24785,448.845,-23072,24868,-0.426167,1732,8556,280,15735,
